AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,VISam6a,"Anteromedial visual area, layer 6",15300,3499.56,345.35,3404.86,451.55,5465.85,702.92,6193.05,352.32,780.42,66.07,810.34,97.62,180.41,65.1,157.99,51.37,277.36,124,29.86,4.46
,VISl,Lateral visual area,15500,4584.71,363.71,4590.55,317.24,5101.82,388.84,5168.08,306.04,2781.69,266.84,2759.8,233.15,635.46,49.09,62.88,16.96,686.89,332.94,182.37,42.31
,VISl1,"Lateral visual area, layer 1",15600,66.75,116.95,63.26,31.09,224.2,173.71,220.5,86.65,716.5,368.93,1262.92,639.27,35.58,49.97,9.77,16.92,168.75,55.83,353.37,81.75
,VISl23,"Lateral visual area, layer 2/3",15700,2804.99,238.74,3222.87,298.56,3101.31,463.29,3047.26,363.17,5755.79,541.6,5809.58,652.6,963.19,138.62,25.87,15.63,1296.26,613.25,409.67,79.49
,VISl4,"Lateral visual area, layer 4",15800,7949.01,682.88,7489.51,693.55,6622.04,818.25,6224.04,337.59,4018.7,480.54,3575.5,509.71,1483.65,138.84,5.12,8.87,929.86,457.71,65.49,58.89
,VISl5,"Lateral visual area, layer 5",15900,8074.84,685.87,7989.9,529.65,8561.39,481.38,8930.55,611.48,1840.35,191.09,1659.99,240.58,691.93,83.79,62.88,6.81,540.02,306.62,61.68,15.11
,VISl6a,"Lateral visual area, layer 6",16000,2954.26,339.53,2937.45,298.99,4874.89,499.9,5010.79,469.79,974.95,145.01,949.09,89.48,98.64,30.9,158.86,42.7,306.32,180.38,39.15,19.86
,VISp,Primary visual area,16200,5214.45,423.63,5069.12,405.68,4984.61,353.42,5055.06,216.47,3071.63,201.38,3082.74,172.87,542.32,92.93,47.74,15.43,702.43,309.71,174.92,23.04
,VISp1,"Primary visual area, layer 1",16300,90.85,72.58,97.08,55.58,386.07,124.46,364.84,48.35,1201.63,198.86,1540.26,348.42,43.44,21.39,8.9,4.96,138.73,54.94,183.6,20.86
,VISp2/3,"Primary visual area, layer 2/3",16400,2478.59,203.89,2647.51,362.79,2419.35,274.46,2357.17,176.74,6338.46,408.32,6321.23,287.39,634.68,104.06,23.65,7.94,1211.61,512.9,439.07,68.28
,VISp4,"Primary visual area, layer 4",16500,6475.94,397.4,6691.08,855.11,5849.4,938.3,5353.91,416.15,4106.87,295.56,3843.06,137.11,1038.48,186.47,11.66,7.24,1051.43,525.88,74.03,15.4
,VISp5,"Primary visual area, layer 5",16600,10366.69,898.67,9855.77,570.06,9138.92,523.5,9295,317.1,1891.76,140.62,1843.33,147.1,767.31,174.87,47.56,14.42,591.57,303.71,53.26,0.78
,VISp6a,"Primary visual area, layer 6",16700,4658.28,434.91,4360.76,295.01,5449.91,449.51,6042.13,328.56,787.89,79.37,825.23,62.57,132.85,20.91,129.16,41.64,305.36,151.04,36.27,4.7
,VISpl,Posterolateral visual area,16900,4917.82,412.83,5054.32,338.31,5035.96,350.84,5087.06,176.06,3184.46,272.83,3176.42,120.92,502.85,283.97,45.53,19.97,644.67,403.39,151.1,51.38
,VISpl1,"Posterolateral visual area, layer 1",17000,53.76,25.25,101.28,70.36,342.24,223.89,343.22,207.49,1358.91,350.99,1545.09,669.89,60.68,51.73,21.81,26.01,78.6,24.31,152.57,68.8
,VISpl2/3,"Posterolateral visual area, layer 2/3",17100,1967.68,162.31,2219.75,240.81,2269.45,432.51,2134.18,376.61,6419.66,596.41,6284.86,411.77,564.66,327.21,18.74,5.63,1068.75,707.92,378.87,183.69
,VISpl4,"Posterolateral visual area, layer 4",17200,5561.96,547.85,5912.87,705.33,4886.54,1069.89,4515.5,383.78,4726.95,256.55,4535.69,476.63,1041.21,644.27,12.46,10.83,992.76,686.11,116.71,35.67
,VISpl5,"Posterolateral visual area, layer 5",17300,9827.22,839,9695.72,819.17,8971.36,496.44,8872.14,308.02,2290.62,338.7,2300.17,268.83,709.57,392.9,56.65,35.07,608.96,380.3,48.48,12.84
,VISpl6a,"Posterolateral visual area, layer 6",17400,4426.05,697.18,4591.8,480.4,5765.86,523.37,6476.16,292.45,797.85,78.7,842.95,130.85,115.14,58.67,95.25,53.74,336.99,194.05,27.96,11.66
,VISpm,posteromedial visual area,17600,4803.25,415.88,4531.61,576.43,5086.98,541.86,5169.27,361.93,3513.01,410.12,3552.61,282.16,573.36,204.53,53.6,21.84,699.2,440.82,159.24,68.36
,VISpm1,"posteromedial visual area, layer 1",17700,89.76,55.73,84.11,7.43,608.12,292.87,640.68,161.71,1525,949.46,1370.27,400.75,18.99,26.2,2.4,4.15,147.56,97.44,169.84,121.74
,VISpm2/3,"posteromedial visual area, layer 2/3",17800,2069.83,355.56,2076.24,518.27,2930.83,719.95,2980.21,495,6258.54,702.66,6250.75,584.81,489.73,283.46,30.05,22.65,1078.8,785.05,295.05,112.95
,VISpm4,"posteromedial visual area, layer 4",17900,6085.72,984.36,5822.96,1409.93,6475.54,1150.01,6050.67,654.89,4820.3,535.91,4828.62,504.05,1231.92,295.35,57.18,31.87,1173.12,770.44,154.77,65.54
,VISpm5,"posteromedial visual area, layer 5",18000,10528.31,701.99,9580.54,1242.08,8749.57,631.43,8865.14,480.5,2644.95,413.37,2778.1,470.12,1040.54,324.14,60.28,31.86,659.33,342.62,62.55,23.81
,VISpm6a,"posteromedial visual area, layer 6",18100,6530.27,744.16,6399.18,734.25,8005.29,475.52,8425.81,605.39,1068.42,163.87,1216.93,254.62,358.2,109.79,131.65,43.89,370.47,212.25,34.9,18.19
,ACA,Anterior cingulate area,18300,3881.62,336.49,3723.4,252.18,4398.69,255.71,4644.59,118.39,2596.86,174.45,2602.23,117.14,673.35,121.11,93.12,17.06,694.03,256.77,197.84,18.35
,ACAd,"Anterior cingulate area, dorsal part",18900,3893.73,399.36,3716.79,244.51,4393.36,247.05,4712.02,136.92,2404.28,164.55,2380.45,76.68,606.94,77.76,75.87,13.23,634.49,226.74,202.65,16.85
,ACAd1,"Anterior cingulate area, dorsal part, layer 1",19000,589.15,60.5,542.53,72.49,1213.01,51.39,1330.41,149.38,2806.12,296.16,2946.02,379.66,237.09,27.54,15.39,8.98,355.37,104.39,335.29,12.42
,ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",19100,4502.58,467.63,4366.43,262.76,4454.48,186.32,4779.47,146.52,4357.97,228.99,4160.52,218.16,1263.37,121.68,33.74,1.39,1233.19,479.93,315.54,56.69
,ACAd5,"Anterior cingulate area, dorsal part, layer 5",19200,6404.47,608.57,6034.4,424.38,6246.47,397.98,6516.81,198.2,1056.14,56.32,1032.92,95.88,442.4,86.26,102.8,14.06,438.07,192.48,64.84,10.65
,ACAd6a,"Anterior cingulate area, dorsal part, layer 6",19300,3502.92,443.63,3402.35,235.66,5511.92,411.19,6155.69,364.79,869.08,100.39,894.66,40.28,282.68,79.47,175.61,55.14,333.28,153.87,60.76,12.99
,ACAv,"Anterior cingulate area, ventral part",19500,3870.92,291.61,3730.02,279.88,4403.87,273.86,4584.25,210.51,2772.5,196.07,2803.94,165.96,734.44,161.77,109.43,21.51,748.92,284.66,193.37,27.28
,ACAv1,"Anterior cingulate area, ventral part, layer 1",19600,700.16,215.26,628.13,180.32,1100.46,258.18,1243.85,345.98,2999.47,501.24,3071.39,296.7,302.06,62.96,78,37.09,593.07,124.85,328.77,78.66
,ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",19700,4410.21,370.34,4386.33,320.94,4748.25,372.94,4850.91,254.01,4830.91,308.81,4850.94,209.13,1529.76,305.26,50.61,12.33,1418.96,635.8,246.87,55.27
,ACAv5,"Anterior cingulate area, ventral part, layer 5",19800,7517.71,599.15,7167.45,607.92,7090.27,416.33,7175.23,120.98,1187.57,86.42,1172.88,101.31,573.29,199,157.26,29.86,401.41,170.95,47.5,12.02
,ACAv6a,"Anterior cingulate area, ventral part, 6",19900,3271.91,343,3074.34,333.03,5949.31,396.81,6601.35,326.16,891.8,77.54,926.36,112.43,309.46,66.33,210.45,16.9,310.02,123.31,50.24,20.23
,PL,Prelimbic area,20100,1711.48,284.72,1700.06,281.15,5263.37,242.05,5616.53,184.08,2359.48,178.78,2370.24,155.47,627.99,57.56,137.39,60.24,627.72,228.91,204.5,38.29
,PL1,"Prelimbic area, layer 1",20200,190.71,39.02,247.68,105.4,1304.94,211.08,1677.07,377.11,3585.86,528.42,3862.95,443.36,362.08,128.29,51.07,2.78,543.65,144.62,446.92,22.46
,PL2,"Prelimbic area, layer 2",20300,1050.33,297.81,1076.29,233.25,3780.12,418.15,3983.48,398.1,5695.71,403.1,5455.46,598.5,1113.54,105.09,61.41,12.64,1413.9,626.79,387.58,117.18
,PL2/3,"Prelimbic area, layer 2/3",20400,1645.19,331.78,1641.75,297.87,4803.11,287.73,5112.99,176.36,2742.05,127.32,2653.14,263.28,1088.73,93.17,78.36,9.02,973.31,387.28,169.58,97.41
,PL5,"Prelimbic area, layer 5",20500,2982.01,432.34,2863.6,522.78,7627.07,291.46,7973.92,562.33,926.83,62.89,923.09,58.73,467.47,72.66,118.89,15.33,338.29,149.01,65.88,23.21
,PL6a,"Prelimbic area, layer 6",20600,2117.88,367.64,2163.77,254.56,7858.3,594.21,8330.94,504.74,680.98,88.18,643.06,85.22,271.45,71.62,210.51,14.64,255.28,110.5,73.15,16.74
,ORB,Orbital area,20800,3900,398.54,3789.17,344.88,4892.04,297.92,5215.4,304.83,1858.81,153.91,1891.38,197.95,573.71,77.8,127.31,10.7,670,220.89,213.3,24.49
,ORBl,"Orbital area, lateral part",21400,4673.08,436.76,4559.22,432.6,4463.36,221.56,4635.36,245.33,1681.21,140.18,1706.4,222.62,479.36,50.9,126.8,25.8,617.78,179.85,241.76,44.71
,ORBl1,"Orbital area, lateral part, layer 1",21500,2469.57,696.7,2604.63,467.64,1577.68,309.24,1681.55,134.1,2793.28,349.77,3326.69,199.53,535.18,112.72,322.38,203.88,961.64,462.85,833.45,209.16
,ORBl2/3,"Orbital area, lateral part, layer 2/3",21600,5598.49,459.96,5456.26,564.26,4203.83,332.57,4358.47,323.57,2244.73,308.87,2078.34,398.83,670.62,59.01,40.83,9.14,755.9,248.38,166.16,11.28
,ORBl5,"Orbital area, lateral part, layer 5",21700,5541.07,510.26,5297.62,494.9,5979.18,280.37,6114.33,391.66,808.5,108.93,784.81,126.94,346.16,32.33,88.43,8.64,384.61,124.82,62.06,11.04
,ORBl6a,"Orbital area, lateral part, layer 6",21800,3275.06,363.79,3143.57,421.13,5772.65,821.83,6110.11,372.09,563.9,109.1,580.2,83.09,168.69,73.38,179.88,75.76,269.84,88.21,38.34,13.05
,ORBm,"Orbital area, medial part",22000,2007.5,220.8,1907.22,290.74,5194.61,359.09,5616.11,288.47,2094.15,195.06,2138.36,205.83,627.91,36.95,104.97,15.95,618.81,251.39,126.43,18.77
,ORBm1,"Orbital area, medial part, layer 1",22100,304.27,83.54,360.67,96.11,1922.95,505,2159.1,269.75,3772,466.65,4114.26,544.06,412.18,79.93,91.93,116.96,716.16,189.77,275.08,61.38
,ORBm2,"Orbital area, medial part, layer 2",22200,699.63,197.12,576.66,142.73,3593.28,365.62,3797.51,522.42,4470.86,518.51,4517.16,551.05,900.17,99.61,65.29,51.48,1136.38,607.32,158.33,91.15
,ORBm2/3,"Orbital area, medial part, layer 2/3",22300,1907.1,220.5,1844.88,398.48,5237.45,426.8,5636.27,428.2,1944.44,231.54,1866.09,135,941.18,62.19,82.63,17.58,719.33,328.74,113.01,23.95
,ORBm5,"Orbital area, medial part, layer 5",22400,3522.38,361.27,3345.17,519.71,6985.73,526.63,7742.7,504.64,857.64,86.46,872.88,122.55,474.1,72.98,131.25,13.77,394.26,173.7,58.8,12.25
,ORBm6a,"Orbital area, medial part, layer 6",22500,2964.84,291.87,2614.37,360.01,7759.83,427.72,7989.03,536.97,661.46,142.3,666.11,134.13,295.47,26.94,155.22,31.47,304.61,130.31,44.92,29.77
,ORBvl,"Orbital area, ventrolateral part",22700,4093.95,445.21,3987.55,343.46,5205.47,392.93,5646.19,455.11,1920.15,160.47,1956.01,173.82,652,146.89,141.24,37.89,761.08,266.74,231.5,20.25
,ORBvl1,"Orbital area, ventrolateral part, layer 1",22800,1561.65,629.76,1638.17,269.36,2279.23,425.22,2789.07,412.97,3553.03,472.52,3881.08,382.6,741.14,338.86,173.74,35.45,1056.96,395.79,603.71,133.56
,ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",22900,5014.99,555.69,4926.86,411.35,5533.29,496.26,6123.38,774,2169.42,389.62,2171.19,232.72,905.64,200.88,92.53,48.43,936.13,346.05,201.29,13.52
,ORBvl5,"Orbital area, ventrolateral part, layer 5",23000,6624.01,510.38,6312.51,600.01,6806.23,465.51,6922.69,490.65,995.9,160.4,868.79,98.99,508.45,56.44,124.88,105.35,525.86,212.44,74.14,3.86
,ORBvl6a,"Orbital area, ventrolateral part, layer 6",23100,2409.13,205.48,2299.7,268.5,6055.65,1084.97,6365.56,422.19,545.29,85.43,528.47,91.12,144.48,73.23,227.85,26.82,303.14,117.17,58.67,30.01
,AI,Agranular insular area,23300,2031.67,237.12,1995.39,164.68,4625.88,81.32,4681.59,274.49,1579.59,127.82,1723.81,104.46,442.81,60.3,105.16,26.17,439.5,123.74,174.71,16.21
,AId,"Agranular insular area, dorsal part",23400,2585.01,291.08,2486.13,193.6,4409.96,119.02,4402.56,232.4,1772.27,119.35,1862.28,123.06,492.4,66.76,107.74,22.53,516.49,152.67,201.77,29.26
,AId1,"Agranular insular area, dorsal part, layer 1",23500,546.93,268.87,490.39,171.07,1144.75,372.46,951.25,282.79,1610.45,349.86,2245.1,530.99,263.48,145.19,65.53,15.83,395.53,92.48,401.51,82.56
,AId2/3,"Agranular insular area, dorsal part, layer 2/3",23600,2870.51,311.73,2760.59,235.6,3821.98,119.01,3890.23,254.58,2759.74,167.57,2631.42,405.12,790.3,70.46,86.28,27.29,778.77,290.25,225.24,40.27
,AId5,"Agranular insular area, dorsal part, layer 5",23700,3825.72,359.91,3693.5,287.47,7039.42,232.59,6897.12,273.63,719.01,55.5,731.8,59.25,323.2,58.35,136.8,15.49,277.86,98.73,53.5,6.56
,AId6a,"Agranular insular area, dorsal part, layer 6",23800,2393.94,343.87,2351.18,197.14,6707.4,696.03,7116.59,432.61,732.49,89.67,816.68,33.27,163.16,40.97,208.06,62.92,288.37,125.46,73.02,15.14
,AIp,"Agranular insular area, posterior part",24000,723.99,134.89,778.42,154.01,4646.44,347.32,4763.37,482.8,1484.8,206.14,1717.51,160.42,383.48,44.81,103.43,42.62,346.3,91.76,155.67,23.17
,AIp1,"Agranular insular area, posterior part, layer 1",24100,46.3,15.27,53.56,10.12,390.33,92.27,437.87,118.26,888.25,427.3,1477.98,632.99,33.2,21.45,1.29,2.24,152.83,71.16,246.44,93.46
,AIp2/3,"Agranular insular area, posterior part, layer 2/3",24200,873.71,172.68,993.45,173.17,3978.69,555.03,4296.76,574.48,3073.67,360.48,3224.64,475.68,595.57,72.26,68.84,31.07,670.46,230.7,208.61,35.62
,AIp5,"Agranular insular area, posterior part, layer 5",24300,1342.37,281.71,1379.29,303.54,7735.83,472.53,7998.84,737.4,986.96,121.48,1021.82,152.34,625.15,99.85,138.54,82.69,292.8,90.67,75.81,16.87
,AIp6a,"Agranular insular area, posterior part, layer 6",24400,636.92,103.65,685.76,170.78,7470.36,443.99,7256.34,854.21,660.34,93.23,789.16,41.39,238.51,93.57,254.43,85.08,212.68,87.53,58.18,8.27
,AIv,"Agranular insular area, ventral part",24600,2362.68,253.77,2360.95,172.86,5063.01,164.42,5173.44,307.66,1279.74,103.48,1433.25,112.1,410,89.53,101.98,18.4,390.48,116.52,139.75,21.26
,AIv1,"Agranular insular area, ventral part, layer 1",24700,334.19,140.9,311.59,93.69,825.46,264.72,670.39,209.17,1001.93,300.54,1427.96,374.42,190.7,157.98,16.57,9.88,295.82,90.15,192.32,32.42
,AIv2/3,"Agranular insular area, ventral part, layer 2/3",24800,2154.23,245.86,2138.16,148.83,4705.46,395.53,5023.93,391.52,2193.57,155.09,2368.61,307.59,649.76,155.8,88.32,30.63,637.93,202.72,207.02,28.7
,AIv5,"Agranular insular area, ventral part, layer 5",24900,3773.33,437.49,3794.75,311.02,7265.53,86.83,7304.8,394.34,628.88,31.1,663.01,182.46,338.42,35.99,135.51,18.1,230.5,107.1,57.94,2.77
,AIv6a,"Agranular insular area, ventral part, layer 6",25000,2231.3,296.45,2259.11,98.56,6600.25,525.99,6740.05,411.7,498.34,90.5,515.28,41.75,150.36,69.04,182.88,47.92,161.26,53.6,60.6,33.54
,RSP,Retrosplenial area,25200,5275.79,372.05,5106.65,427.36,5043.75,372.57,5340.52,153.38,2770.27,235.23,2920.12,131.15,569.81,89.45,39.71,15.46,636.65,245.63,138.97,7.77
,RSPagl,"Retrosplenial area, lateral agranular part",25300,3645.42,455.09,3606.04,283.49,6204.42,454.4,6431.69,206.88,3275.65,245.39,3373.73,157.82,858.87,124.56,97.33,41.58,879.72,325.15,227.03,7.42
,RSPagl1,"Retrosplenial area, lateral agranular part, layer 1",25400,168.83,129.32,110.61,17.41,743.14,259.45,705.47,249.52,1780.68,461.26,1663.04,680.7,62.55,50.84,13.03,6.67,185.13,94.12,258.58,51.08
,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",25500,3525.87,919.73,3631.16,356.23,6134.05,607.98,6274.01,197.48,8016.19,542.14,8142.18,241.7,1807.37,235.39,62.55,19.93,2069.93,790.25,521.53,62.56
,RSPagl5,"Retrosplenial area, lateral agranular part, layer 5",25600,6075.87,569.91,6050,425.46,8726.85,508.48,8877.93,382.85,1716.27,202.73,1945.39,226.29,931.27,268.12,82.73,27.34,611.79,278.15,74.25,21.12
,RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6",25700,3539.91,431.85,3341.89,362.9,7248.87,877.88,7781.9,600.35,941.21,127.43,960.42,91.99,276.02,120.94,185.39,79.43,363.56,146.74,59.72,2.24
,RSPd,"Retrosplenial area, dorsal part",25900,5256.43,381.24,5094.57,384.09,5188.35,343.18,5391.65,196.91,2682.58,186,2788.73,133.96,669.47,85.84,41.39,16.73,637.7,232.46,164.23,17.07
,RSPd1,"Retrosplenial area, dorsal part, layer 1",26000,410.28,81.12,326.11,102.06,760.93,93.52,736.44,116.37,1475.83,440.82,1317.3,105.08,105.98,28.98,6.59,4.13,149.3,30.87,186.43,19.86
,RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3",26100,5368.5,442.42,5165.92,487.83,4739.92,415.34,4929.7,338.01,5927.91,418.85,6101.11,255.56,1056.6,157.43,14.87,11.37,1244.53,455.31,342.17,60.07
,RSPd5,"Retrosplenial area, dorsal part, layer 5",26300,8364.25,501.75,8202.37,685.92,7364.52,382.96,7508.53,269.17,1656.87,285.64,1810.21,210.8,892.05,203.02,36.64,20.52,581.3,233.64,71.28,27.19
,RSPd6a,"Retrosplenial area, dorsal part, layer 6",26400,4859.52,477.16,4713.39,394.52,6512.87,688.62,7027.08,401.28,1089.43,135.28,1241.99,119.48,330.23,129.49,110.95,33.23,363.68,170.42,51.74,11.21
,RSPv,"Retrosplenial area, ventral part",26600,5618.31,383.84,5423.7,495.42,4708.77,394.53,5080.78,165.75,2721.23,272.61,2911.35,140.44,445.97,96.02,27.15,10.88,585.32,237.84,103.46,1.95
,RSPv1,"Retrosplenial area, ventral part, layer 1",26700,713.51,252.5,659.84,135.9,1254.84,254.46,1205.96,227.59,2104.6,479.83,2435.07,564.77,182.48,39.05,7.48,1.09,392.99,237.33,143.86,20.84
,RSPv2,"Retrosplenial area, ventral part, layer 2",26800,2142.66,124.06,2031.73,246.76,2840.34,640.97,3320.97,481.73,6231.93,782.83,6828.5,680.96,466.29,151.8,7.83,6.79,1153.42,495.21,254.72,28.56
,RSPv2/3,"Retrosplenial area, ventral part, layer 2/3",26900,4712.75,189.14,4572.67,435.32,5106.44,783.51,5678.16,293.16,5961.32,583.13,6058.52,369.09,733.2,174.2,12.83,12.37,1243.22,572.23,167.86,36.99
,RSPv5,"Retrosplenial area, ventral part, layer 5",27000,9616.47,585.89,9334.69,918.75,6154.58,455.61,6567.2,199.69,1481.87,170.99,1545.06,142.73,545.52,114.62,31.48,7.22,391.27,171.05,38.95,10.55
,RSPv6a,"Retrosplenial area, ventral part, layer 6",27100,7123.46,595.5,6808.98,567.11,6834.09,652.43,7397.19,489.14,841.3,149.21,936.46,110.16,302.36,93.04,65.62,32.81,239.35,86.8,33.91,4.16
,PTLp,Posterior parietal association areas,27300,4452.5,357.29,4366.08,357.54,5139.91,282.16,5264.12,282.54,2512.36,222.1,2492.47,140.65,655.32,25.22,81.24,20.72,642.15,200.92,230.34,6.7
,PTLp1,"Posterior parietal association areas, layer 1",27400,109.84,89.14,130.59,55.21,464.07,92.56,560.71,81.95,1478.39,235.63,1726.23,521.01,63.23,23.51,29.46,12.78,325.71,121.05,321.34,73.35
,PTLp2/3,"Posterior parietal association areas, layer 2/3",27500,3589.93,237.53,3675.37,511.13,3893.85,232.65,3902.5,328.16,5836.43,449.42,5686.56,398.65,1285.45,76.88,62.54,36.38,1232.39,365.72,556.96,29.88
,PTLp4,"Posterior parietal association areas, layer 4",27600,7230.85,623.97,6828.67,648.3,5946.83,422.91,5513.23,397.05,3280.34,358.88,3127.46,311.15,1299.25,93.7,21.75,7.3,914.07,364.58,152.9,31.94
,PTLp5,"Posterior parietal association areas, layer 5",27700,7641.85,628.14,7436.16,469.26,8453.86,411.12,8507.65,449.5,1344.79,129.77,1298.16,89.71,630.8,86.41,78.64,15.28,528.37,226.91,90.56,5.05
,PTLp6a,"Posterior parietal association areas, layer 6",27800,2992.77,285.53,2946.82,216.82,4857.35,632.97,5395.3,264.8,828.38,83.73,841.56,58.53,148.62,40.33,154.51,19.73,255.64,124.84,39.38,7.52
,TEa,Temporal association areas,28000,2164.45,264.19,2407.64,295.75,5758.19,238.26,5780.71,242.08,2752.74,201.17,2769.26,172.95,571.22,39.63,93.07,19.86,627.8,264.71,219.38,4.49
,TEa1,"Temporal association areas, layer 1",28100,34.5,24.78,27.35,7.81,372.46,176.08,438.15,244.49,1369.01,350.06,1562.63,425.91,39.92,22.26,19.83,12.06,266.13,98.39,278.25,112.31
,TEa2/3,"Temporal association areas, layer 2/3",28200,1144.33,270.52,1477.03,272.48,4160.47,305.42,4104.24,457.64,6036.66,391.03,6184.48,464.98,824.34,117,67.36,35.68,1244.51,502.15,529.62,60.32
,TEa4,"Temporal association areas, layer 4",28300,4139.14,570.42,4535.64,492.72,7012.44,411.68,6807.87,357.89,4422.84,474.63,4034,576.57,1560.38,226.97,55.12,21.03,1083.27,565.49,217.25,42.74
,TEa5,"Temporal association areas, layer 5",28400,3724.63,366.04,4064.97,483.33,8743.78,238.12,8698.13,362.8,1737.45,143.22,1702.23,141.53,668.81,118.68,90.71,22.19,473.4,241.02,77.67,4.93
,TEa6a,"Temporal association areas, layer 6",28500,1770.59,206.57,1896.36,243.88,6626.62,640.43,6848.12,325.91,939.45,70.69,912.63,78.17,136.48,40.1,196.77,18.2,249.91,132.43,37.02,9.5
,PERI,Perirhinal area,28700,1356.96,199.19,1333.9,273.58,4664.13,445.45,4908.34,490.61,1591.58,185.81,1719.47,218.19,537.13,30.44,114.72,43.77,498.27,209.22,164.77,37.77
,PERI6a,"Perirhinal area, layer 6",28800,1010.78,132,1034.45,233.97,7480.05,211.62,7652.18,384.83,939.95,160.71,962.21,36.43,227.94,85.84,235.24,86.68,226.45,109.35,54.04,4.81
,PERI1,"Perirhinal area, layer 1",29000,80.3,35.41,45.61,22.76,568.25,448.73,563.5,352.08,1074.65,443.07,1195.6,239.79,162.05,42.04,14.22,17.51,265.84,203.91,154.95,78.06
,PERI5,"Perirhinal area, layer 5",29100,2252.29,419.94,2159.1,457.78,6400.34,612.78,6906.06,955.16,946.56,78.72,988.7,88.69,642.03,173.24,167.66,27.97,367.23,160.68,82.24,8.33
,PERI2/3,"Perirhinal area, layer 2/3",29200,1611.23,184.53,1632.65,350.48,4240.27,491.21,4383.87,515.88,2956.76,385.4,3229.23,594.67,883.77,93.57,63.1,51.99,947.83,389.97,318.18,62.52
,ECT,Ectorhinal area,29300,1715.35,161.74,1801.46,290.24,5295.63,499.27,5649.08,669.54,2972.5,275.12,2999.98,312.85,614.84,153.25,85.72,31.72,643.82,337.8,175.61,21.59
,ECT1,Ectorhinal area/Layer 1,29400,65.84,17.18,71.96,28.81,501.01,497.26,631.15,465.52,1474.45,594.43,1640.74,141.01,132.21,83.62,17.61,15.72,289.23,120.97,190.31,64.29
,ECT2/3,Ectorhinal area/Layer 2/3,29500,1525.5,155.14,1696.89,278.66,4569.41,818.46,5084.49,952.02,5955.02,424.97,5981.89,720.1,1132.32,292.73,58.11,28.83,1235.29,674.68,333.78,42.59
,ECT5,Ectorhinal area/Layer 5,29600,2921.87,249.26,3036.7,472.71,7772.17,475.39,8136.25,836.87,1876.35,91.92,1816.05,159.68,625.26,132.61,97.48,37.2,472.1,281.06,70.58,21.26
,ECT6a,Ectorhinal area/Layer 6,29700,1876.06,213.62,1859.83,394.05,7862.27,550.38,8223.22,400.71,1152.65,108.67,1167.02,167.76,209.21,44.88,196.82,50,268.39,150.95,47.6,7.65
,OLF,Olfactory areas,29900,577.26,123.33,623.81,160.38,5185.04,319.01,5760.8,393.11,2073.04,125.72,2354.94,113.02,692.41,281.41,102.91,21.17,235.05,64.78,88.58,25.24
,MOB,Main olfactory bulb,30000,583.75,166.14,626.08,236.48,6234.69,703.97,7024.21,796.34,3795.66,159.63,4435.09,310.86,1534.11,688.97,52.31,9.05,211.52,61.8,33.12,19.37
,MOBgl,"Main olfactory bulb, glomerular layer",30100,812.69,202.42,875.95,361.35,12225.49,1619.93,13701.22,1917.09,5897.31,708.32,6787.96,756.49,2603.51,1422.4,50.16,10.55,200.3,54.71,18.78,14.39
,MOBgr,"Main olfactory bulb, granule layer",30200,119.72,44.32,133.93,42.03,2613.21,198.44,2961.33,278.66,440.36,131.83,504.21,100.85,258.58,145.11,60.73,2.99,87.75,44.51,40.01,20.67
,MOBipl,"Main olfactory bulb, inner plexiform layer",30300,379.07,125.67,379.09,115.26,2245.36,412.81,2219.97,134.29,1624.46,1093.14,1801.56,561.51,1110.18,411.02,25.61,17.76,190.99,51.89,25.6,14.92
,MOBmi,"Main olfactory bulb, mitral layer",30400,592.86,165.5,618.67,195.17,3060.56,355.53,3002,247.02,2897.61,1384.77,3369.77,713.51,1639.51,525.52,39.14,7.7,292.68,93.85,21.92,8.83
,MOBopl,"Main olfactory bulb, outer plexiform layer",30500,1165.53,354.21,1236.94,468.93,6388.93,514.82,6521.68,661.49,7401.12,569.35,8819.82,718.48,2252.93,824.62,48.58,16.92,453.3,141.35,44.61,26.02
,AOB,Accessory olfactory bulb,30600,183.91,70.08,195.22,68.14,2360.63,197.63,2729.75,175.08,1401.28,167.04,1827.92,102.27,467.24,206.9,94.72,7.15,119.84,32.11,83.23,57.27
,AOBgl,"Accessory olfactory bulb, glomerular layer",30700,433.32,176.1,505.88,228.52,4719.65,767.98,5784.2,323.55,4660.52,475.79,5855.59,318.33,1169.09,607.96,146.42,115.85,177.82,39.3,68.47,71.54
,AOBgr,"Accessory olfactory bulb, granular layer",30800,5.11,8.38,21.26,15.89,1137.1,188.49,1246.32,254.08,342.34,97.91,464.04,132.8,43.43,20.74,24.7,24.92,70.49,40.29,67.69,29.15
